(Cycle %):,Rt Biceps Fem,L.Biceps Fem. M(uV),R.Glut.Max. M(uV),L.Glut.Max. M(uV),R.Rectus Fem. M(uV),L.Rectus Fem. M(uV),R.Vmo M(uV),L.Vmo M(uV),R.Glut.Med. M(uV),L.Glut.Med. M(uV),R.Tib.Ant. M(uV),L.Tib.Ant. M(uV),R.Med. Gastro M(uV),L.Med. Gastro M(uV),R.Soleus M(uV),L.Soleus M(uV)
0.0,9.166123944724763,18.589493049976916,7.796786877366022,8.973597887015137,9.256566031333492,10.738125916118966,30.43271404709134,22.08140934975484,40.267886007259904,32.76131218116476,8.507210621249435,12.44475972544612,5.734833121074709,2.830857749321326,17.10975652980618,11.194810034829226
0.5,8.821663870446104,17.08706133339271,7.947581162194151,9.442955187452624,9.590703241672088,11.043289576339307,31.483440317342016,22.46650186811537,44.51733645743908,35.61322532527165,8.441868431093692,12.299620714959534,6.284284184420269,3.0413526077237623,18.665298215928583,13.117301327522382
1.0,8.43548008618299,15.652120667694854,8.070192987414565,9.90169997382564,9.955482242304129,11.28773080287484,32.64856323012014,22.729648726235244,48.5251554335407,38.04251092201443,8.31261490166152,12.069515469970732,6.862022541502147,3.310713974082858,20.43455245650777,15.267037373037434
1.5,8.080065185192622,14.183133534448478,8.14311963313124,10.368684585340318,10.28838893353146,11.499612865856541,33.7840320734683,22.87948695662216,51.604367308930236,40.18314612407833,8.146072531131846,11.719004809531864,7.349360028557489,3.6641714217877612,22.114657062854732,17.6744766498295
2.0,7.732915552465841,12.924496235092493,8.180472469066764,10.759280850904714,10.606958212689635,11.658411745236181,34.95998502983696,22.900906310990305,54.093593632551304,41.741211958743186,7.9357591314301565,11.31022203864088,7.771726112071514,4.0374245537638584,23.795439730378217,19.824725560276445
2.5,7.3669431934302825,11.776543006714316,8.18827333092102,11.10189305223655,10.921276607645252,11.786520639273725,36.21524698383551,22.82088156081693,56.197586810122516,42.966600931091776,7.656235908286795,10.84162068403007,8.144558255249699,4.446977263424533,25.550092539940117,21.809307700723934
3.0,7.036252989153509,10.749839874446259,8.173121398730784,11.389008807502865,11.171090631461391,11.878354177502484,37.28244361406453,22.645004592032414,57.70596400043861,43.94484449068642,7.345034513857575,10.34335198579639,8.412814705235903,4.887818838406025,27.03537784188538,23.576828306497198
3.5,6.71316716630548,9.845858497369974,8.142595995244294,11.614108321067643,11.375244938557943,11.917858113858811,38.19931839108916,22.368801895892457,58.931921728424385,44.752078235066165,6.977552984841652,9.846814339897863,8.620911293561731,5.354556583787687,28.320396234294794,25.108453837597327
4.0,6.380469204555769,9.053027390602326,8.094891241082212,11.772215064875025,11.542940455925974,11.887589247718568,38.981742656323966,21.98178260814069,60.071167340974284,45.42590547879032,6.513554060147768,9.37697081804944,8.80063745135848,5.8382551036801775,29.42966579289238,26.407825635040755
4.5,6.104624241914698,8.29402008901624,8.035055542539201,11.865919280986876,11.650065534464789,11.765767589484136,39.49833520548722,21.420108057117464,61.00070621910291,45.98408278966562,6.030112907142113,8.91635624957285,8.947467419470327,6.367615518827807,30.174515995309047,27.575744451941137
